FETION_FLAG,MOBMAIL_FLAG,MOBNEWS_FLAG,TIMENEWS_FLAG,CR_FLAG,WIRELESS_ADV_USR_FLAG,WIRELESS_MUS_FLAG,CR_BOX_FLAG,PIM_FLAG,SMSRTN_FLAG,HOTEL_PREORD_CALL_FLAG,AER_PREORD_FLAG,MO_CALL_12580_FLAG,MOBPAY_FLAG,MOBDOWN_FLAG,mms_flag,gprs_flag,quanqu_down_flag,khbm
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,10967
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10970
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10990
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10998
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11023
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11024
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11036
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11040
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11052
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11057
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11060
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,11066
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11068
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11071
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,11122
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11158
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11159
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11168
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11194
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11201
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11212
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,11228
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11230
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11241
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11244
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11257
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11262
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11265
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11275
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11286
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11317
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11318
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11332
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11343
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11346
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,11356
